customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
1018,20.0,Female,West,Secondary,Salaried,621334.0956633048,357839.4715283225,Business,658.8298783946301,4,232,0.85,2023-09-01,0
1019,39.0,Male,West,Secondary,Self-Employed,362961.60649543355,164485.23376933052,Business,660.3685631176969,11,200,1.36,2024-10-01,1
1020,70.0,Female,North,Post-Graduate,Salaried,930640.8792120356,231492.48520184413,Business,722.4791751488004,8,273,1.42,2018-04-19,0
1021,19.0,Female,West,Primary,Salaried,859091.4319382326,351013.6009106531,Car,657.4405106967322,3,120,1.25,2024-04-17,0
1022,41.0,Male,West,Graduate,,618169.950931286,122337.1420049142,Home,658.1980024505272,9,370,1.03,2020-03-25,0
1023,61.0,Female,West,Post-Graduate,Salaried,411957.6551199953,193992.33137999076,Home,691.3077103766814,10,106,0.59,2025-04-15,0
1024,47.0,Male,West,Post-Graduate,Unemployed,744507.6836698431,323985.6393548124,Business,719.4124050545214,5,204,1.48,2024-02-11,0
1025,55.0,Male,East,Graduate,Unemployed,730776.5211469023,466264.90601094806,Other,571.3059369898737,4,110,0.56,2022-09-15,0
1026,19.0,Male,West,Secondary,Unemployed,931083.5707479455,800418.42897703,Education,549.8143552106543,0,267,0.46,2020-06-21,0
1027,38.0,Male,South,Secondary,Salaried,589066.1212848774,714492.2175879804,Business,785.6383703507049,4,233,0.77,2023-01-14,0
1028,50.0,Female,North,Graduate,Self-Employed,998730.533716249,288336.8636829343,Other,706.3260350342526,12,378,0.27,2024-08-10,0
1029,29.0,Male,East,Post-Graduate,Salaried,564936.7491660581,210635.94839727803,Other,632.4490690936477,4,268,1.47,2021-02-13,0
1030,39.0,Female,West,Secondary,Unemployed,363542.05386439455,425730.2181393184,Car,651.5761549306504,8,145,0.96,2018-01-27,1
1031,61.0,Female,East,Secondary,Self-Employed,416929.3111306797,204475.51947655322,Car,618.5950645336138,0,388,0.92,2019-10-16,0
1032,42.0,Female,West,Primary,Self-Employed,684397.1152160962,183313.36740149022,Home,666.9024579553242,4,23,1.05,2022-09-28,0
1033,,Female,South,Primary,Salaried,683621.372735317,230352.71894153388,Home,572.2530248476249,6,107,0.85,2021-10-25,1
1034,44.0,Female,North,Graduate,Salaried,781965.285187694,216352.2942434724,Education,717.213358807194,10,170,0.24,2021-02-12,0
1035,59.0,Male,West,Secondary,Salaried,677406.4922203897,329824.2815696878,Education,664.0362718902801,5,195,1.0,2019-09-29,0
1036,45.0,Male,West,Post-Graduate,Self-Employed,944329.6290160824,198550.58619460816,Education,666.9301676826681,5,230,1.13,2020-05-31,0
1037,33.0,Female,West,Graduate,Salaried,,280004.52105580556,Education,578.4846093857183,11,278,0.74,2021-10-10,1
1038,32.0,Female,West,Primary,Salaried,200930.93378214596,595690.6249983313,Other,691.9413677418108,6,110,1.18,2019-02-23,1
1039,64.0,Male,North,Graduate,Self-Employed,669725.8278835515,285235.47809611115,Other,580.3222685483167,5,278,0.5,2019-01-15,0
1040,68.0,Female,North,Secondary,Salaried,198305.3280583797,572845.3958736049,Home,594.6279312072971,4,210,0.49,2022-04-06,1
1041,61.0,Male,South,Graduate,Salaried,767847.7452494245,489445.4529539724,Car,657.0097538753402,9,100,0.41,2019-02-01,0
1042,69.0,Female,North,Graduate,Salaried,964298.249746229,360778.7318925108,Car,850.0,4,157,0.68,2022-01-10,0
1043,20.0,Male,West,Graduate,Salaried,453443.8784293702,224790.38057075278,Business,663.7172906683847,8,369,1.3,2021-11-09,0
1044,54.0,Male,South,Graduate,Salaried,,451465.38790792506,Other,444.4959296265945,7,145,1.28,2024-10-08,1
1045,68.0,Male,South,Secondary,Salaried,910707.8111821078,236809.7939400802,Education,598.5998893311399,11,388,0.7,2020-12-19,1
1046,24.0,Female,South,Primary,Salaried,1001620.0388537636,268067.78925429535,Education,704.6983289776459,9,375,0.97,2018-06-27,0
1047,38.0,Female,West,Graduate,Salaried,747390.9641086578,316506.5884960243,Business,559.7231244012701,3,328,1.14,2023-02-25,0
1048,,Male,East,Primary,Self-Employed,451808.70606204483,267618.1055098138,Car,716.4881952916528,3,362,0.51,2024-01-06,0
1049,56.0,Female,West,Secondary,Salaried,895203.8569535344,187187.51375881082,Education,662.7056459812023,9,249,0.42,2019-05-27,0
1050,35.0,Male,North,Primary,Salaried,2175399.09323166,125047.69987681428,Car,729.3061754072621,4,364,1.46,2022-03-31,0
1051,21.0,Female,North,Graduate,Unemployed,729471.1265258387,433465.0569560612,Business,605.2916712599202,12,329,1.0,2018-11-19,0
1052,42.0,Male,West,Primary,Salaried,657162.2517990953,356885.7792191298,Car,599.0572868053828,12,39,1.48,2024-03-11,1
1053,31.0,Male,West,Graduate,Salaried,981173.964199224,113515.48107646589,Car,695.1988126627609,2,388,0.64,2021-04-15,0
1054,67.0,Female,South,Post-Graduate,,882581.7514808322,184721.8252648721,Car,649.3977300022273,7,68,1.11,2025-01-18,0
1055,26.0,Other,West,Primary,,679858.5504219073,293470.59171284275,Education,644.5581750570981,6,154,0.49,2024-12-08,0
1056,43.0,Female,South,Primary,Self-Employed,212098.20161496178,334799.18281540764,Home,775.517589515925,4,48,0.54,2022-01-21,0
1057,70.0,Female,North,Secondary,Self-Employed,2164772.5334707987,125589.4045169646,Other,698.3312741649428,9,67,0.87,2024-06-22,0
1058,19.0,Female,South,Post-Graduate,Self-Employed,876055.5723711043,256627.44113319923,Car,490.8061626643418,2,288,0.62,2020-02-27,0
1059,37.0,Male,West,Secondary,Salaried,770027.565261646,351451.604380971,Car,713.9254498013111,4,22,0.42,2018-10-12,0
1060,45.0,Other,North,Secondary,Self-Employed,,225087.41099425234,Car,705.9175040332098,2,277,0.54,2018-07-07,0
1061,64.0,Female,East,Primary,Salaried,248353.00688277773,304953.5729653478,Home,744.7929029778745,9,35,0.25,2020-07-22,1
1062,24.0,Female,South,Graduate,Unemployed,748877.2875393642,210286.05700168415,Business,574.8241264341193,4,113,1.12,2021-03-31,0
1063,61.0,Female,North,Secondary,Salaried,435735.708071056,422776.1728775078,Education,900.0,0,377,0.84,2018-11-23,0
1064,25.0,Female,South,Graduate,Salaried,459800.88479060575,179936.11371507795,Home,658.9304016994545,5,153,0.32,2020-08-11,0
1065,64.0,Female,North,Post-Graduate,Salaried,868151.9321956635,151593.95556508185,Car,573.3894522016197,9,320,0.42,2019-02-18,1
1066,52.0,Male,North,Secondary,Self-Employed,1000559.6951039184,272246.56728552456,Home,725.7413254325264,3,346,0.33,2022-04-06,0
1067,31.0,Female,South,Graduate,Salaried,512324.49324092537,131037.26322788998,Home,630.6763200552494,3,152,1.0,2021-02-12,0
1068,34.0,Male,East,Primary,Unemployed,688809.9230969566,93661.67870486612,Home,,7,331,0.32,2023-02-01,0
1069,53.0,Other,North,Post-Graduate,Self-Employed,681438.3335039099,461329.422412892,Business,590.5712971946019,1,51,1.18,2025-02-16,0
1070,67.0,Female,North,Graduate,Salaried,658948.9738258708,164043.63840056732,Other,533.1531623360484,3,324,0.23,2022-02-03,0
1071,57.0,Male,North,Post-Graduate,Self-Employed,710149.6190390746,137747.035885093,Education,630.5947054375084,1,288,0.52,2019-10-29,0
1072,21.0,Female,East,Primary,Self-Employed,889124.7319600391,178817.4284502516,Business,668.5530546049957,0,44,1.36,2022-02-25,0
1073,19.0,Female,East,Primary,Self-Employed,531518.9133176012,174848.416181442,Business,607.2643258224871,9,335,1.13,2021-12-26,0
1074,23.0,Female,West,Secondary,,318680.61637098336,249932.02738568894,Other,404.84345049934177,12,78,0.29,2020-05-08,1
1075,59.0,Female,South,Secondary,Salaried,1122502.48340094,155322.15108994412,Business,680.6919315935016,12,232,1.27,2020-12-29,0
1076,21.0,Male,East,Secondary,Salaried,972355.4811225126,344239.55373292224,Home,680.3184552417621,2,175,0.84,2025-04-08,0
1077,46.0,Female,South,Secondary,Salaried,424090.5321876505,370688.38853817777,Home,704.9733822832773,11,333,1.3,2018-10-20,0
1078,35.0,Female,West,Primary,Unemployed,733908.0021939883,141846.99769924794,Car,619.5606051559378,7,295,0.98,2024-10-31,0
1079,43.0,Male,South,Secondary,Salaried,952675.5411465276,196998.5581239956,Business,615.1958614094474,5,229,1.09,2025-02-13,0
1080,61.0,Female,East,Graduate,Self-Employed,887260.9861315098,206585.85753914382,Car,,11,76,1.49,2019-12-02,0
1081,51.0,Male,South,Secondary,Salaried,815503.3274823212,247087.13318075315,Education,523.9676251342627,6,204,0.5,2023-12-28,1
1082,27.0,Male,East,Primary,Salaried,657443.2771020641,461086.8774177003,Home,630.2305765065888,1,73,1.01,2020-09-29,0
1083,53.0,Female,South,Secondary,Self-Employed,1131825.9812654895,474566.3447053624,Education,661.3841476905444,5,228,0.8,2019-11-01,0
1084,31.0,Female,East,Primary,Unemployed,755214.718114865,936058.9114691368,Other,698.4817464011393,7,387,0.25,2023-03-09,0
1085,48.0,Male,East,Post-Graduate,Salaried,571260.1851698274,86276.5432541298,Home,663.5813745923455,7,361,0.22,2022-04-04,0
1086,65.0,Female,South,Primary,Salaried,917768.9322113988,169033.4897415015,Education,576.2405889230753,3,312,0.35,2021-01-10,0
1087,32.0,Male,West,Graduate,Salaried,724014.6604878551,664642.5062741718,Other,743.4091158416684,5,359,1.04,2025-03-06,0
1088,,Male,North,Post-Graduate,Salaried,787449.4318134056,109059.60439991225,Education,650.1525929821526,4,323,0.94,2024-03-31,0
1089,31.0,Male,West,Graduate,Salaried,750787.3003978019,657126.9674112782,Other,516.5597834806908,8,271,0.92,2020-06-18,1
1090,40.0,Male,South,Graduate,Salaried,824193.8934417274,288853.707518168,Other,666.7341320618715,7,393,0.24,2021-08-21,0
1091,57.0,Male,West,Graduate,Salaried,455385.9366501983,294215.09265935945,Home,688.0221496977172,1,323,0.81,2018-08-18,0
1092,,Female,East,Post-Graduate,Self-Employed,337223.4032074979,141506.5106885694,Car,806.8595162718492,11,131,1.4,2020-07-27,1
1093,33.0,Female,North,Graduate,Salaried,1058533.180808396,214147.08906905501,Other,,12,385,0.72,2018-05-12,0
1094,,Male,South,Graduate,,762396.1404472924,642863.8120008411,Other,531.4379542387902,6,25,1.01,2021-07-16,1
1095,35.0,Female,South,Graduate,Salaried,892711.8193521447,262015.36665529213,Home,534.2478967353314,6,210,1.21,2022-07-02,1
1096,64.0,Female,South,Secondary,Self-Employed,260060.19495559344,214861.83785033392,Car,750.6967566558613,10,353,1.22,2021-01-01,1
1097,70.0,Male,North,Graduate,Unemployed,966670.7771786257,328686.470505662,Business,585.7757589320688,11,298,0.88,2018-09-29,1
1098,,Female,East,Secondary,Salaried,569628.5886610581,243748.24768476438,Business,526.0335148683872,0,359,1.32,2020-05-14,0
1099,43.0,Other,South,Secondary,Self-Employed,498445.4582977389,318881.7345386376,Car,730.0408694206747,0,32,0.71,2024-05-12,0
1100,,Male,West,Primary,Salaried,684156.7080920034,175453.50077275265,Education,611.9411350228263,11,322,1.36,2021-07-12,0
1101,62.0,Male,South,Primary,Salaried,1822019.7894574753,258182.93826912766,Home,725.7611171327686,3,63,0.51,2020-05-20,0
1102,58.0,Female,South,Secondary,Salaried,,194748.03372563538,Car,576.8224395736471,4,124,0.56,2025-05-08,0
1103,46.0,Female,South,Primary,Salaried,665915.4132463784,108881.63782091613,Business,767.9049866932704,3,179,0.27,2023-08-07,0
1104,32.0,Male,South,Graduate,Self-Employed,,341457.6346460085,Other,719.765096554662,6,173,1.23,2022-06-09,0
1105,62.0,Female,East,Secondary,,1078336.1255348674,144800.69797945253,Business,592.1851706718923,2,261,0.74,2025-03-18,0
1106,18.0,Female,West,Graduate,Salaried,4281515.7928415835,247120.0512416929,Other,,6,200,0.5,2023-02-23,1
1107,42.0,Female,East,Primary,Self-Employed,150000.0,426357.77615931525,Home,834.4131087003313,12,33,0.5,2019-08-09,1
1108,24.0,Female,West,Secondary,Salaried,466208.29253917874,126892.21086672369,Other,633.1833838405483,7,199,1.37,2020-12-20,0
1109,26.0,Female,South,Graduate,Salaried,,363066.774628611,Car,900.0,5,396,1.28,2019-07-26,1
1110,41.0,Male,North,Graduate,Salaried,401614.4313912423,230981.58587868942,Other,760.90466150636,5,311,0.92,2020-10-07,0
1111,18.0,Male,East,Primary,Salaried,537620.4472740422,165501.9571710814,Education,725.6607882729952,7,283,1.0,2024-04-18,0
1112,61.0,Female,North,Post-Graduate,Salaried,802640.4038067359,737824.775960092,Car,744.6237234650064,7,187,0.82,2024-01-17,0
1113,25.0,Female,East,Post-Graduate,Salaried,570016.6913768649,268262.65945335827,Home,642.1193377985815,6,233,0.71,2020-12-12,0
1114,41.0,Male,South,Secondary,Salaried,576982.4822628385,201985.9774100522,Car,800.48437522589,5,169,1.39,2024-07-22,0
1115,28.0,Female,East,Secondary,Salaried,745441.1707999408,181660.26372702097,Education,545.1505455558911,5,35,0.36,2022-10-21,0
1116,68.0,Female,South,Post-Graduate,Self-Employed,272672.5886980473,416891.48296568997,Home,605.8360382753983,9,110,0.74,2024-07-18,1
1117,34.0,Male,East,Graduate,Salaried,490351.7117590341,197594.43219898792,Business,681.1903004571907,10,139,0.65,2022-06-24,0
1118,25.0,Female,South,Secondary,Unemployed,574110.8435456569,391702.94936192216,Education,743.448907538969,12,272,0.85,2022-01-22,0
1119,52.0,Female,South,Graduate,Salaried,649399.5028421639,268004.77712795004,Home,702.8927216419863,12,79,0.79,2020-06-17,0
1120,52.0,Female,West,Secondary,Self-Employed,719238.4975563863,468876.1932099675,Other,643.3707411322567,5,285,0.87,2019-07-21,0
1121,50.0,Female,South,Secondary,Unemployed,1075162.4474332605,159329.5975606522,Car,611.9881706208416,7,50,0.38,2023-09-19,0
1122,22.0,Male,West,Secondary,Self-Employed,927084.0402702737,170837.54940261476,Home,743.8808686687483,0,40,0.87,2023-07-15,0
1123,59.0,Female,South,Graduate,Salaried,507672.4938770163,233163.9989207612,Car,711.1516810621624,4,238,0.52,2019-01-08,0
1124,56.0,Male,North,Graduate,Self-Employed,634667.735137133,243036.45976126776,Other,580.0380965847148,2,100,0.44,2018-07-12,0
1125,58.0,Male,South,Graduate,Salaried,617640.2157269692,224744.95066985814,Home,,11,308,0.28,2019-03-26,1
1126,45.0,Female,North,Secondary,Salaried,571461.8708698141,1000209.6667259805,Business,606.3609476448388,7,50,1.19,2019-09-19,0
1127,24.0,Male,North,Secondary,Salaried,768128.9564552275,752851.6701429365,Education,596.09905075045,10,253,0.76,2025-01-14,1
1128,26.0,Male,South,Secondary,Salaried,235055.1117572729,311616.18630533695,Home,732.3872730037174,5,55,1.01,2019-10-18,0
1129,25.0,Female,North,Graduate,Salaried,920178.5970016209,330541.01718235906,Other,684.8585857774414,1,151,1.15,2022-09-26,0
1130,29.0,Male,West,Secondary,Unemployed,1123387.6976788389,238418.7618138197,Home,694.6229792322479,12,343,1.08,2024-09-08,0
1131,51.0,Male,East,Primary,,632539.8648320457,158750.20899228947,Car,665.3335709437421,6,365,0.81,2018-09-18,0
1132,50.0,,South,Post-Graduate,Salaried,627658.8937205428,244987.8458993835,Home,669.1016572269883,6,151,0.7,2022-04-26,0
1133,65.0,Female,North,Primary,Unemployed,739261.0618021679,394572.77478632156,Business,523.4546067727752,12,28,0.69,2022-04-13,1
1134,40.0,Male,South,Post-Graduate,Salaried,954846.4942400525,515459.1731635699,Home,713.5346926147815,4,49,1.03,2024-09-06,0
1135,41.0,Female,West,Primary,Unemployed,618926.5707956895,441465.0836911036,Education,604.9214815526846,7,134,0.84,2023-04-02,0
1136,54.0,Female,South,Graduate,Salaried,933486.2915254341,126135.60702460753,Home,647.3475733560006,4,320,1.3,2023-12-08,0
1137,52.0,Female,South,Primary,Salaried,822123.6681133107,232207.387021149,Car,612.1461662291732,0,23,1.34,2020-10-26,0
1138,61.0,Female,North,Post-Graduate,Self-Employed,1290402.8610011726,128742.06912080891,Home,661.669725212134,8,344,0.42,2024-03-16,0
1139,57.0,Other,West,Secondary,Self-Employed,617834.496209426,481384.5831087082,Business,695.8475141795196,3,256,0.38,2018-02-17,0
1140,39.0,Female,East,Primary,Self-Employed,205999.88806979154,218339.79099753514,Other,,12,42,1.02,2019-04-15,1
1141,,Female,East,Secondary,Unemployed,341765.2198286215,262090.44738209352,Home,670.2199379395202,1,35,0.59,2024-01-09,0
1142,52.0,Female,North,Primary,Self-Employed,702982.0593500392,341132.1213970565,Home,614.0797936996914,3,41,0.22,2020-12-28,0
1143,18.0,Male,South,Primary,Self-Employed,956970.5235051878,1069893.811480119,Education,755.7167020700803,12,91,1.36,2025-03-10,0
1144,52.0,Male,North,Post-Graduate,Unemployed,536872.7148948191,306857.1073657976,Business,,8,323,0.49,2021-10-25,1
1145,54.0,Female,North,Secondary,Self-Employed,642266.8875311675,238199.6534653525,Other,569.7986984348756,1,249,1.41,2019-04-02,0
1146,64.0,Female,North,Graduate,Salaried,871210.6843328939,144275.35489082447,Car,621.2343825570551,3,126,1.13,2021-04-17,0
1147,31.0,Female,South,Graduate,Unemployed,458691.8497803856,556442.8362253364,Home,575.948502798893,1,227,1.19,2022-11-16,0
1148,20.0,Male,West,Graduate,Salaried,547182.6502012955,245041.23165862658,Other,632.049518961047,4,227,0.46,2019-10-10,0
1149,18.0,Female,North,Primary,Self-Employed,408068.32809743483,614504.3165554309,Car,,2,282,0.5,2023-02-02,0
1150,22.0,Male,South,Secondary,Unemployed,994557.0232206405,466403.5644550721,Business,657.0729902161451,9,70,0.88,2018-01-14,0
1151,43.0,Male,West,Graduate,Self-Employed,1085418.2029490918,212888.09875729747,Business,730.6457622259323,1,84,0.42,2020-12-14,0
1152,31.0,Female,North,Post-Graduate,Self-Employed,305146.25262673496,133767.95644909813,Other,655.702368454742,8,284,0.6,2023-08-13,1
1153,56.0,Female,East,Secondary,Self-Employed,664453.6252529442,307516.6646062694,Car,662.9883648653182,4,357,0.62,2020-01-02,0
1154,44.0,Female,West,Secondary,Salaried,1051814.7437662361,197313.32680303406,Business,565.414191775032,9,320,0.41,2023-09-11,1
1155,26.0,Female,North,Secondary,,799673.7959055594,273668.53347971843,Other,639.2752356947897,4,397,0.47,2019-03-12,0
1156,32.0,Male,West,Post-Graduate,Salaried,577690.1917502263,453397.6361470474,Business,616.2596422712483,0,194,1.23,2025-01-05,0
1157,32.0,Female,West,Secondary,Salaried,313459.47009727533,117384.35817437863,Business,704.5312770912388,5,171,0.42,2021-05-07,0
1158,43.0,Male,West,Secondary,Salaried,988236.1379557161,306295.9045553954,Business,588.8346413437843,12,285,0.24,2025-03-02,1
1159,59.0,Female,West,Post-Graduate,Salaried,790128.8037361244,392306.2624310859,Education,581.1475525991013,6,348,1.02,2023-09-11,1
1160,30.0,Female,West,Primary,Salaried,331753.40306456113,401938.8657862721,Car,675.3943357717878,0,323,1.47,2024-10-30,0
1161,68.0,Female,West,Primary,Self-Employed,997472.7634687477,135703.67325647236,Other,808.4082443498351,8,182,0.63,2020-03-25,0
1162,49.0,Female,North,Graduate,Salaried,,330932.0131378475,Other,635.9241100820269,7,362,0.35,2019-09-19,1
1163,56.0,Female,East,Post-Graduate,Salaried,644878.4614581472,489807.7719402093,Car,663.4566724984398,11,386,0.94,2022-03-12,0
1164,66.0,Female,South,Secondary,Salaried,633846.3241569677,318576.17685631174,Car,725.8417478683829,7,257,1.38,2019-10-24,0
1165,69.0,Male,West,Secondary,Salaried,1104595.3322119587,253255.1853049976,Car,690.7923118892218,6,218,1.22,2024-01-19,0
1166,49.0,Male,South,Secondary,Self-Employed,,474400.16301386297,Car,691.3183584305758,4,35,1.01,2023-12-13,0
1167,21.0,Male,North,Secondary,Salaried,633839.3284248188,189631.99314430042,Home,642.3846038465596,2,328,0.61,2018-01-03,0
1168,47.0,Male,West,Graduate,Salaried,359230.41377557657,124876.87687879991,Other,643.9411853777391,11,315,0.9,2024-09-19,1
1169,54.0,,East,Secondary,Salaried,539900.5802353485,242729.05312778262,Home,589.5881169818776,8,375,0.32,2021-08-20,1
1170,40.0,Female,South,Secondary,Salaried,495676.1347798394,350642.5459218863,Business,688.9098603441106,6,295,1.08,2023-06-25,0
1171,56.0,Male,West,Secondary,Salaried,508694.4084988268,451110.85238837096,Business,687.0843543998914,10,258,1.14,2018-03-21,0
1172,62.0,Male,North,Graduate,Salaried,701571.1312229683,349847.0322035249,Other,707.3731622155042,9,88,1.45,2019-04-04,0
1173,32.0,Male,East,Secondary,Self-Employed,150000.0,407546.5891630438,Business,610.9516423557324,9,320,0.54,2022-01-26,1
1174,60.0,Female,South,Post-Graduate,Self-Employed,,452550.9873731573,Car,716.4107519502885,7,25,0.22,2021-06-13,1
1175,,Female,South,Primary,Salaried,672245.2815982113,226457.25735567883,Home,740.666783051835,5,239,0.91,2020-09-07,0
1176,53.0,Male,West,Graduate,Unemployed,730313.6707759829,249204.8054075032,Car,552.8833505378991,11,273,1.12,2018-08-26,1
1177,30.0,Female,East,Graduate,Salaried,641641.8003390261,510723.637754771,Business,626.2501936514075,10,314,1.23,2020-09-13,0
1178,49.0,Female,East,Secondary,,689801.3775537597,146520.62578707025,Home,900.0,4,377,0.45,2024-05-12,0
1179,24.0,Male,East,Secondary,Unemployed,597720.8465861871,332556.9593628245,Car,598.0355440117692,7,126,0.54,2018-11-19,1
1180,68.0,Female,East,Secondary,Salaried,695373.8491925843,187520.90013017092,Other,692.3010021746672,2,314,0.87,2018-12-17,0
1181,39.0,Female,North,Secondary,Unemployed,808535.555065554,465157.2510095111,Car,650.6860801601945,11,137,0.63,2023-06-14,0
1182,45.0,Male,East,Secondary,Salaried,806783.4321719152,265941.66513579583,Business,676.4703457138806,12,187,1.32,2018-10-11,0
1183,19.0,Male,South,Primary,Salaried,527760.3971353761,269358.09128250484,Home,653.1245042153769,12,270,0.82,2023-12-22,0
1184,59.0,Male,South,Secondary,Salaried,928773.6848957376,636945.8631253577,Other,709.6936787651417,6,101,1.24,2019-05-31,0
1185,62.0,Male,North,Graduate,Self-Employed,739277.1736258299,156682.7924535433,Home,568.2786291308897,1,73,0.95,2019-06-10,0
1186,70.0,Female,South,Secondary,Self-Employed,1008053.4890849423,298913.5668818973,Other,576.934140470217,2,259,1.21,2023-05-01,0
1187,23.0,Female,South,Graduate,Self-Employed,1058218.1078167704,735679.0455016115,Home,767.1610840213485,12,385,0.63,2024-03-01,0
1188,,,East,Secondary,Salaried,339318.3196566885,350181.0754188615,Business,818.0290623988254,11,31,1.28,2019-11-08,1
1189,45.0,Male,South,Post-Graduate,,,704092.7638868904,Other,649.5664449098911,1,228,0.56,2020-12-21,0
1190,61.0,Male,North,Graduate,Salaried,903387.0099926376,198268.8555699877,Education,787.2212833721368,4,184,0.91,2023-12-02,0
1191,61.0,Male,East,Primary,Salaried,283776.89496776316,147458.36501377492,Home,588.2580282389182,6,385,0.48,2024-10-20,1
1192,37.0,Female,West,Graduate,Unemployed,1055044.2406733434,179034.94462868833,Home,607.4731293211235,10,313,0.82,2022-09-30,0
1193,47.0,Male,East,Primary,Salaried,,238849.98568606202,Car,766.5990009396297,9,26,0.61,2020-05-17,0
1194,28.0,Male,North,Secondary,Self-Employed,843758.2587772545,277094.9252372343,Other,714.3285222898687,10,97,0.55,2024-01-18,0
1195,45.0,Male,East,Post-Graduate,Self-Employed,670902.3342848059,284151.9467660629,Education,778.5141678345807,10,84,1.46,2020-04-03,0
1196,42.0,Female,East,Primary,Salaried,351902.61805407825,660881.9273610772,Business,687.4844615247204,10,121,0.41,2021-06-30,1
1197,,Male,North,Secondary,Self-Employed,963886.1505329937,604658.7463944382,Car,568.996313878858,9,376,1.22,2022-06-23,1
1198,50.0,Female,East,Graduate,Salaried,1387680.7576343324,514768.8503066069,Education,667.8861886002142,12,319,1.48,2025-04-15,0
1199,18.0,Male,North,Post-Graduate,Salaried,571247.9309110771,943375.1591676599,Other,746.1602030774409,0,306,0.23,2022-03-10,0
1200,44.0,Female,North,Graduate,Salaried,619410.3622886894,405164.8208373313,Education,639.3811837883062,12,190,1.11,2022-11-30,0
1201,69.0,Female,West,Secondary,,150000.0,467043.43540399463,Home,627.0853185195425,9,96,0.53,2023-10-21,1
1202,30.0,Male,South,Graduate,Salaried,1037875.7258640302,401268.1800544521,Home,688.7082722371298,8,67,0.25,2023-01-24,0
1203,58.0,Male,South,Secondary,Salaried,927941.3307105007,369702.0377817275,Car,605.2394987563844,0,274,0.72,2019-05-11,0
1204,20.0,Female,East,Graduate,Salaried,266654.03448627144,326830.92331929994,Other,673.64003864908,0,101,1.42,2020-10-12,0
1205,56.0,Female,East,Post-Graduate,Salaried,183778.63448827842,220041.5074008332,Other,655.0801171737165,11,228,0.22,2020-07-09,1
1206,,Male,West,Graduate,Self-Employed,212692.17920868372,143862.156860196,Education,610.7668431401264,9,228,0.96,2018-09-20,1
1207,25.0,Female,West,Post-Graduate,Self-Employed,861292.2813432046,251367.93355693266,Car,728.4589785493931,7,103,0.85,2021-10-16,0
1208,44.0,Female,West,Primary,Salaried,886247.8549035206,356071.5062210783,Other,701.6790351160619,5,29,1.34,2018-03-28,0
1209,26.0,Female,North,Graduate,Salaried,469166.51390780293,278209.8462329546,Home,621.7063532570698,5,48,0.31,2024-08-06,0
1210,54.0,Male,West,Graduate,Self-Employed,824815.0078456996,157523.84977714592,Education,,11,323,1.09,2024-03-18,0
1211,50.0,Female,West,Primary,Salaried,,246978.97116657102,Business,628.297952012173,8,135,1.08,2020-07-31,0
